Constituency Number,Constituency Name,District,Member Name,Party,Latitude,Longitude
26,Khamgaon,BULDANA,Akash Pandurang Fundkar,BJP,20.621999698444572,76.66735685788905
27,Jalgaon (Jamod),BULDANA,Kute Sanjay Shriram,BJP,21.028189193807247,76.64245020443043
28,Akot,AKOLA,Prakash Gunwant Bharsakle,BJP,21.125038193904615,76.96974317362216
29,Balapur,AKOLA,Nitin Bhikanrao Deshmukh,SHS-UBT,20.50105717647481,76.84242545959415
30,Akola West,AKOLA,Sajid Khan Pathan,INC,20.710436522442663,76.99043192173778
31,Akola East,AKOLA,Randhir Pralhadrao Sawarkar,BJP,20.834613339033766,77.09358405217121
32,Murtizapur,AKOLA,Harish Marotiappa Pimple,BJP,20.70407255123452,77.36228786668818
33,Risod,WASHIM,Ameet Subhashrao Zanak,INC,20.17160966418189,76.86259177895198
34,Washim,WASHIM,Shyam Ramcharan Khode,BJP,20.093258738137976,77.25228835205814
35,Karanja,WASHIM,Sai Prakash Dahake,BJP,20.39778495585105,77.57965044891681
36,Dhamangaon Railway,AMRAVATI,Adsad Pratap Arunbhau,BJP,20.684541729773922,77.91316760014047
37,Badnera,AMRAVATI,Ravi Gangadhar Rana,RYSP,20.88797978489128,77.63604586344037
38,Amravati,AMRAVATI,Sulbha Sanjay Khodke,NCP,20.956441252230817,77.7786491534462
39,Teosa,AMRAVATI,Rajesh Shriramji Wankhade,BJP,21.043673316827146,77.84566095376759
40,Daryapur,AMRAVATI,Gajanan Motiram Lawate,SHS-UBT,20.988048103726054,77.28573722933231
41,Melghat,AMRAVATI,Kewalram Tulsiram Kale,BJP,21.462799616619698,77.16722617962155
42,Achalpur,AMRAVATI,Pravin Vasantrao Tayade,BJP,21.320695808283507,77.66327648341162
43,Morshi,AMRAVATI,Umesh Alias Chandu Atmaramji Yawalkar,BJP,21.401003863962952,78.19076844426918
44,Arvi,WARDHA,Sumit Wankhede,BJP,21.11710487047766,78.32131885307484
45,Deoli,WARDHA,Rajesh Bhaurao Bakane,BJP,20.586834902831672,78.48177720274136
46,Hinganghat,WARDHA,Samir Tryambakrao Kunawar,BJP,20.54890791320283,78.91832143454421
47,Wardha,WARDHA,Dr. Pankaj Rajesh Bhoyar,BJP,20.886285245640487,78.7342178178817
48,Katol,NAGPUR,Charansing Babulalji Thakur,BJP,21.290601876496357,78.48909229213484
49,Savner,NAGPUR,Dr Ashishrao Deshmukh,BJP,21.45095756350168,78.880123819744
50,Hingna,NAGPUR,Sameer Dattatraya Meghe,BJP,20.946532708116134,78.87501976295648
51,Umred,NAGPUR,Sanjay Narayanrao Meshram,INC,20.795719811469443,79.34685140957332
52,Nagpur South West,NAGPUR,Devendra Gangadhar Fadnavis,BJP,21.11225650576779,79.05850825170974
53,Nagpur South,NAGPUR,Mohan Gopalrao Mate,BJP,21.117100478538504,79.11288461223084
54,Nagpur East,NAGPUR,Khopde Krishna Pancham,BJP,21.148448493285755,79.14313654281328
55,Nagpur Central,NAGPUR,Datke Pravin Prabhakarrao,BJP,21.14759557592962,79.10320473601412
56,Nagpur West,NAGPUR,Vikas Pandurang Thakre,INC,21.167588479303326,79.05474536147551
57,Nagpur North,NAGPUR,Dr Nitin Kashinath Raut,INC,21.186221398939445,79.11244975121214
58,Kamthi,NAGPUR,Chandrashekhar Krushnarao Bawankule,BJP,21.208474397617195,79.41459313090034
59,Ramtek,NAGPUR,Ashish Nandkishore Jaiswal(Vakil),SHS,21.550531843894525,79.3490515958471
60,Tumsar,BHANDARA,Karemore Raju Manikrao,NCP,21.39324991348778,79.67732900856102
61,Bhandara,BHANDARA,Bhondekar Narendra Bhojraj,SHS,20.968109140543948,79.59451572048913
62,Sakoli,BHANDARA,Nanabhau Falgunrao Patole,INC,20.95410148633528,79.91122116623458
63,Arjuni Morgaon,GONDIYA,Badole Rajkumar Sudam,NCP,20.816633069027016,80.12126378150485
64,Tirora,GONDIYA,Vijay Bharatlal Rahangdale,BJP,21.367765053017454,79.94697770059857
65,Gondiya,GONDIYA,Agrawal Vinod,BJP,21.53908228569089,80.22898955268528
66,Amgaon,GONDIYA,Sanjay Puram,BJP,21.24436816804924,80.45108145798768
67,Armori,GADCHIROLI,Ramdas Maluji Masram,INC,20.590715889677757,80.26220324336317
68,Gadchiroli,GADCHIROLI,Dr. Milind Ramji Narote,BJP,19.98348550264724,80.00953482060582
69,Aheri,GADCHIROLI,Atram Dharamraobaba Bhagwantrao,NCP,19.366524025248037,80.44192644305902
70,Rajura,CHANDRAPUR,Deorao Vithoba Bhongle,BJP,19.656890304723873,79.25682839114273
71,Chandrapur,CHANDRAPUR,Jorgewar Kishor Gajanan,BJP,19.956810601130844,79.16616087162026
72,Ballarpur,CHANDRAPUR,Mungantiwar Sudhir Sacchidanand,BJP,19.976554130898013,79.6173813853164
73,Brahmapuri,CHANDRAPUR,Vijay Namdeorao Wadettiwar,INC,20.151555903460974,79.85481756169014
74,Chimur,CHANDRAPUR,Banti Bhangdiya,BJP,20.61446287231292,79.52467383086528
75,Warora,YAVATMAL,Karan Sanjay Deotale,BJP,20.28627131494232,78.98632100271571
76,Wani,YAVATMAL,Derkar Sanjay Nilkanthrao,SHS-UBT,19.978909088691875,78.89910452101864
77,Ralegaon,YAVATMAL,Prof. Dr. Ashok Ramaji Wooike,BJP,20.497851843352763,78.36991491466023
78,Yavatmal,YAVATMAL,Anil Alias Balasaheb Shankarrao Mangulkar,INC,20.321630771384996,78.08639743483688
79,Digras,YAVATMAL,Rathod Sanjay Dulichand,SHS,20.423269188690934,77.73361996630891
80,Arni,YAVATMAL,Raju Narayan Todsam,BJP,19.949454385231196,78.24423685535433
81,Pusad,YAVATMAL,Indranil Manohar Naik,NCP,19.908194685023446,77.41647366555813
82,Umarkhed,YAVATMAL,Kisan Maroti Wankhede,BJP,19.614702489279516,77.85052094784336
83,Kinwat,NANDED,Bhimrao Ramji Keram,BJP,19.64974054376209,78.11115788508212
84,Hadgaon,NANDED,Kohlikar Baburao Kadam,SHS,19.5220032762372,77.67715700316619
85,Bhokar,NANDED,Chavan Sreejaya Ashokrao,BJP,19.203147645704036,77.64106592441658
86,Nanded North,NANDED,Balaji Devidasrao Kalyankar,SHS,19.207269152268946,77.24366284621436
87,Nanded South,NANDED,Anand Shankar Tidke,SHS,19.11060428175705,77.28351408374145
88,Loha,NANDED,Prataprao Patil Chikhalikar,NCP,18.92082638063597,77.14137119813721
89,Naigaon,NANDED,Rajesh Sambhajirao Pawar,BJP,18.927545013445602,77.7243698347097
90,Deglur,NANDED,Antapurkar Jitesh Raosaheb,BJP,18.529208023427554,77.59901778587809
91,Mukhed,NANDED,Tushar Govindrao Rathod,BJP,18.560904931237342,77.28346579990428
92,Basmath,HINGOLI,Chandrakant Alias Rajubhaiya Ramakant Navghare,NCP,19.381398851576837,77.038845086692
93,Kalamnuri,HINGOLI,Bangar Santosh Laxmanrao,SHS,19.753306473903727,77.34852563320723
94,Hingoli,HINGOLI,Mutkule Tanhaji Sakharamji,BJP,19.873519561005022,76.92776312044033
95,Jintur,PARBHANI,Bordikar Meghna Deepak Sakore,BJP,19.630484974164347,76.69788469783335
96,Parbhani,PARBHANI,Dr. Rahul Vedprakash Patil,SHS-UBT,19.314313365970897,76.85364745211439
